Title,Company,CompanyRating,Location,Salary
Delivery Associate – E-Biker,Dutch-X,3.5,"New York, NY ",$15 an hour
JFK Wheelchair Dispatcher Full-Time,ERMC Aviation LLC,,"Jamaica, NY ",$21 an hour
Restaurant Server,Glass House Tavern,3.3,"New York, NY ",$30 - $45 an hour
Concierge,Soho Grand Hotel,3.5,"New York, NY ",
Cancer Registrar,Catholic Health,3.5,"New York, NY ",
"Associate Program, Client Service - Portuguese Fluency-January/Summer 2023",AlphaSights,3.9,"New York, NY ","$75,000 - $95,000 a year"
Tutor,Study Evolution Edtech,5.0,"New York, NY ",$23 - $40 an hour
"Sales Associate - Ganni, Part Time, 59th Street",Bloomingdale’s,3.6,"New York, NY ",$15.00 - $34.05 an hour
Restaurant Crew Member,Chipotle Mexican Grill,3.5,"New York, NY +1 location",$17 an hour
Customer Relations Supervisor,Viking Cruises US,3.3,United States ,
Food Delivery Driver 送餐员 Flexible schedule,Fantuan Delivery,,"Queens, NY ",
Patient Care Representative - Lower Manhattan,SHM CityMD,,"Manhattan, NY ",
Customer Operations Agent (Weekends and Nights),FanDuel,3.8,"Jersey City, NJ ",
Seasonal Customer Service Representative,Uncommon Goods,4.2,"Brooklyn, NY ",$20 an hour
"ADMIN, OFFICE PERSONNEL - HOURLY (FULL-TIME)",ESFM,3.4,"New York, NY ",$25 an hour
"Retail Fitting Room Associate, Herald Square - Standard Part Time",Macy’s,3.6,"New York, NY ",$15.00 - $26.83 an hour
"Seasonal Sales Associate - Home, Part Time, 59th Street",Bloomingdale’s,3.6,"New York, NY ",$15.00 - $20.50 an hour
Bus Attendant (2022-2023),Classical Charter Schools,3.1,"New York, NY ",
Cybersecurity Examination Specialist,National Futures Association,3.8,"New York, NY ",
"The North Face Sales Associate (New York, New York, NY)",The North Face,4.0,"New York, NY +1 location",
Overnight Dishwasher,Guesthouse NY,,"New York, NY ",$20 - $22 an hour
Dishwasher,La Pecora Bianca,4.1,"New York, NY ",$17 an hour
Legal Assistant,Seer Solutions Inc.,,"New York, NY ",$42 - $43 an hour
Service Writer/Advisor - Independent Auto Repair Shop,Champion Auto Repair,,"Brooklyn, NY ",
Training Avail Home Health Aide HHA/Personal Care Aide PCA $21+/hr* + Bonus,Selfhelp Community Services Foundation Inc,3.3,"New York, NY ",
Front Desk Agent,"Hotel Barriere Fouquet, Tribeca",,"New York, NY ",$20 - $24 an hour
Restaurant Team Member - Crew (642 - 200 Varick),Chipotle,3.5,"New York, NY ",
Delivery Associate - Foot Courier,Amazon DSP,,"New York, NY ",$16.00 - $17.25 an hour
Box Office Ambassador,SUMMIT One Vanderbilt,,"New York, NY ",$23 an hour
Contact Representative (Customer Service Representative),US Social Security Administration,3.6,"New York, NY ","$36,118 - $46,953 a year"
Temporary Sales/Support Associate - 685 5TH AVENUE,Coach,3.9,"New York, NY ",$15 - $20 an hour
Part-time Online Community Moderator,Vesta,,"Manhattan, NY ",
Home Cleaner - 1099/Contractor,Intraserve Professional,,"New York, NY ",$22.50 an hour
Transportation Coordinator /Greeter (Part Time) - JFK International Airport,IW Group,,"John F. Kennedy International Airport, NY ",$35 an hour
Patient Care Representative - Upper Manhattan,SHM CityMD,,"Manhattan, NY ",
Contract Educator,Lululemon,4.2,"New York, NY ",$15.00 - $20.25 an hour
"Seasonal Brand Sales Stock Support Associate - Calvin Klein Mens Outerwear , Herald Square - Full Time",Macy’s,3.6,"New York, NY ",$15.00 - $30.98 an hour
Dog Walker/Pet Sitter,Happy Pets NYC,,"Forest Hills, NY ",
Deicer - JFK,Swissport International Ltd.,3.2,"Jamaica, NY ",$26 an hour
Driver,HR NOW (2),,"New York, NY +1 location",$880 a week
Cashier,Foot Locker,3.9,"New York, NY +4 locations",
Delivery Courier $17/Hour + 100% of Tips! All Equipment Provided!,Getir,,"New York, NY ",
Assistant Store Manager,TJ Maxx,3.7,"New York, NY ",$22.00 - $28.30 an hour
Overnight Store Associate,CVS Health,3.3,"New York, NY +1 location",$15 - $16 an hour
Part Time Retail Sales Consultant,AT&T,3.7,"New York, NY ",
Inventory Control Specialist,Dolce & Gabbana,3.8,"New York, NY ","$75,000 - $85,000 a year"
Evening Dog Walker,Swifto,,"Manhattan, NY ",$19.50 an hour
Receptionist,Woods Bagot,3.3,"New York, NY ","$55,000 - $65,000 a year"
Retail Cashier,Mango,3.6,"New York, NY ",$17.50 an hour
Youth Specialist,Noble Hearts HR Consulting,,"Bronx, NY ",
Registrar - Receptionist,St. Barnabas,3.3,"Bronx, NY ",
"Sales Associate - Fendi, Full Time, 59th Street",Bloomingdale’s,3.6,"New York, NY ",$15.00 - $34.05 an hour
"Sales Associate - Ferragamo, Full Time: 59th Street",Bloomingdale’s,3.6,"New York, NY ",$15.00 - $34.05 an hour
"Seasonal Recovery Support Associate, Part Time: 59th Street",Bloomingdale’s,3.6,"New York, NY ",$15.00 - $20.50 an hour
"Research Specialist, A&R - Disruptor Records",Sony Music Entertainment US,4.3,"New York, NY ",
Part-Time Overnight Merchandise Processing,The Container Store Inc.,3.8,"New York, NY ",$17 - $19 an hour
GUCCI Apprentice - New York Fifth Avenue,Gucci,4.0,"New York, NY ",
"Channel Lead, TikTok",Etsy,4.3,"Brooklyn, NY ","$90,000 - $116,000 a year"
Receptionist,eTeam InfoServices Pvt. Ltd,,"New York, NY ",$30 an hour
"Seasonal Support Stock Associate - Moncler Ready To Wear, Part Time, 59th Street",Bloomingdale’s,3.6,"New York, NY ",$15.00 - $20.50 an hour
Cosmetic Regulatory Affairs Manager - Oral Care,LG H&H USA,,"New York, NY ","$85,000 - $110,000 a year"
"Seasonal Brand Sales Stock Support Associate - Calvin Klein Womens Coats, Herald Square - Full Time",Macy’s,3.6,"New York, NY ",$15.00 - $30.98 an hour
Cashier - JFK Airport,SSP America,,"Jamaica, NY ",$18 an hour
"Nike Flushing Queens Retail Sales Associate Part-Time (""Athlete"")",NIKE INC,4.1,"Queens, NY ",$15 an hour
TMS Technician,Neurotherapeutix,,"New York, NY ",$30 - $40 an hour
Urban Outfitters Seasonal Sales Associate,Urban Outfitters,3.5,"New York, NY +4 locations",
Digital Marketer,JobPrepped,5.0,"New York, NY ","$50,000 - $70,000 a year"
Janitorial Worker,The Fifth Labor,,"Manhattan, NY ",$15 - $20 an hour
"Overnight Grocery Team Member (Stocker, Inventory, Receiving) - Part Time",Whole Foods Market,3.7,"Brooklyn, NY +6 locations",
City Point - Part Time Retail Assistant,Primark - US,3.5,"Brooklyn, NY ",
"Caregiver Needed ASAP in Manhattan, NY",Meetcaregivers,4.0,"Manhattan, NY ",$20 an hour
"Sales Associate - Louis Vuitton, Part Time: 59th Street",Bloomingdale’s,3.6,"New York, NY ",$15.00 - $34.05 an hour
Customer Experience Agent - Part time - JFK,British Airways,3.7,"Queens, NY ",
Member Advocate,Parsley Health,,"New York, NY ",
Mailroom Clerk,Compass Group,3.2,"New York, NY ",$19 - $20 an hour
Telephone Operator,St. Barnabas,3.3,"Bronx, NY ",
Bookkeeper,BMW of Manhattan and MINI of Manhattan,,"New York, NY ","$140,000 a year"
Fine Dining Server,Nusr-Et Steakhouse Meatpacking,,"New York, NY ","$800 - $1,200 a week"
